PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
356170,2020-04-11,"Bagel w/CC, Item Only",2.49,3,7.47,1.6,0.98,0,6.49
356170,2020-04-11,"Coca-Cola Cooler Beverages, Bottled Water",1.59,1,1.59,0.34,0.0,0,1.59
356170,2020-04-11,"Coca-Cola Cooler Beverages, Coca-Cola",1.89,1,1.89,0.4,0.0,0,1.89
356170,2020-04-11,"Coca-Cola Cooler Beverages, Diet Coke",1.89,4,7.56,1.62,0.0,0,7.56
356170,2020-04-11,"Coca-Cola Cooler Beverages, Seagrams Ginger Ale",1.89,2,3.78,0.81,0.0,0,3.78
356170,2020-04-11,"Coca-Cola Cooler Beverages, Simply Orange Juice",1.99,1,1.99,0.43,0.0,0,1.99
356170,2020-04-11,"Iced Coffee, Large, Original Blend",3.19,8,25.52,5.46,0.0,0,25.52
356170,2020-04-11,"Iced Coffee, Medium, Original Blend",2.69,7,18.83,4.03,0.52,0,18.31
356170,2020-04-11,"Iced Coffee, Small, Original Blend",2.19,1,2.19,0.47,0.0,0,2.19
356170,2020-04-11,Add Espresso Shot,0.99,3,2.97,0.64,0.15,0,2.82
356170,2020-04-11,"Americano, Large, Original",2.79,1,2.79,0.6,0.0,0,2.79
356170,2020-04-11,"Americano, Medium, Original",2.59,1,2.59,0.55,0.0,0,2.59
356170,2020-04-11,"Cappuccino, Small, Original",2.69,1,2.69,0.58,0.0,0,2.69
356170,2020-04-11,"Iced Americano, Large, Original",3.29,1,3.29,0.7,0.0,0,3.29
356170,2020-04-11,"Iced Latte, Large, Original",4.09,3,12.27,2.63,0.0,0,12.27
356170,2020-04-11,"Iced Latte, Medium, Original",2.0,2,4.0,0.86,0.0,0,4.0
356170,2020-04-11,"Iced Macchiato, Large, Original",4.39,1,4.39,0.94,4.39,0,0.0
356170,2020-04-11,"Iced Signature Latte, Large, Original, Caramel Craze",3.89,2,7.78,1.67,0.0,0,7.78
356170,2020-04-11,"Iced Signature Latte, Medium, Original, Caramel Craze",3.59,2,7.18,1.54,0.0,0,7.18
