PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
355342,2020-04-11,"Bagel w/CC, Item Only",2.49,18,44.82,1.39,1.96,0,42.86
355342,2020-04-11,1.5oz Plain CC,0.99,2,1.98,0.06,0.0,0,1.98
355342,2020-04-11,8oz Plain CC,2.49,1,2.49,0.08,0.0,0,2.49
355342,2020-04-11,z-No Price 1.5oz Plain CC,0.0,12,0.0,0.0,0.0,0,0.0
355342,2020-04-11,z-No Price 1.5oz Strawberry CC,0.0,2,0.0,0.0,0.0,0,0.0
355342,2020-04-11,z-No Price 1.5oz Veggie CC,0.0,2,0.0,0.0,0.0,0,0.0
355342,2020-04-11,Cinnamon Raisin Bagel,1.39,2,2.78,0.09,0.0,0,2.78
355342,2020-04-11,Everything Bagel,1.39,6,8.34,0.26,0.0,0,8.34
355342,2020-04-11,Multigrain Bagel,1.39,2,2.78,0.09,0.0,0,2.78
355342,2020-04-11,Plain Bagel,1.39,9,12.51,0.39,0.0,0,12.51
355342,2020-04-11,Sesame Bagel,1.39,3,4.17,0.13,0.0,0,4.17
355342,2020-04-11,"Croissant, Plain Croissant",1.59,6,9.54,0.3,0.0,0,9.54
355342,2020-04-11,"Coca-Cola Cooler Beverages, Apple Juice",1.99,1,1.99,0.06,0.0,0,1.99
355342,2020-04-11,"Coca-Cola Cooler Beverages, Bottled Water",1.89,4,7.56,0.23,0.0,0,7.56
355342,2020-04-11,"Coca-Cola Cooler Beverages, Coca-Cola",1.89,3,5.67,0.18,0.0,0,5.67
355342,2020-04-11,"Coca-Cola Cooler Beverages, Diet Coke",1.89,2,3.78,0.12,0.0,0,3.78
355342,2020-04-11,"Coca-Cola Cooler Beverages, Simply Orange Juice",2.29,3,6.87,0.21,0.0,0,6.87
355342,2020-04-11,"Dairy Cooler Beverages, Milk 14oz Whole Choc",1.99,6,11.94,0.37,0.0,0,11.94
355342,2020-04-11,"Dairy Cooler Beverages, Milk 16oz Whole Strawbry",1.99,2,3.98,0.12,0.0,0,3.98
355342,2020-04-11,"Cold Brew Coffee, Large",3.79,1,3.79,0.12,0.0,0,3.79
355342,2020-04-11,"Cold Brew Coffee, Medium",3.29,2,6.58,0.2,0.0,0,6.58
355342,2020-04-11,"Cold Brew Coffee, Small",2.79,2,5.58,0.17,0.0,0,5.58
355342,2020-04-11,"Energy Cold Brew, Large",4.69,1,4.69,0.15,4.69,0,0.0
355342,2020-04-11,"Iced Coffee, Large, Dark Roast",3.29,2,6.58,0.2,0.0,0,6.58
355342,2020-04-11,"Iced Coffee, Large, Original Blend",3.29,40,131.6,4.09,9.87,0,121.73
355342,2020-04-11,"Iced Coffee, Medium, Dark Roast",2.79,4,11.16,0.35,0.0,0,11.16
355342,2020-04-11,"Iced Coffee, Medium, Original Blend",2.79,56,156.24,4.85,0.0,0,156.24
355342,2020-04-11,"Iced Coffee, Small, Original Blend",2.29,18,41.22,1.28,0.0,0,41.22
355342,2020-04-11,"Coolatta, Medium, Strawberry",3.79,3,11.37,0.35,0.0,0,11.37
355342,2020-04-11,"Coolatta, Medium, Vanilla Bean",3.79,2,7.58,0.24,0.0,0,7.58
355342,2020-04-11,"Coolatta, Small, Vanilla Bean",2.99,2,5.98,0.19,0.0,0,5.98
355342,2020-04-11,Add Espresso Shot,0.99,15,14.85,0.46,0.0,0,14.85
355342,2020-04-11,"Add Espresso Shot - Espresso, Regular",0.99,1,0.99,0.03,0.0,0,0.99
355342,2020-04-11,"Americano, Large, Original",3.99,3,11.97,0.37,0.0,0,11.97
355342,2020-04-11,"Americano, Medium, Original",3.59,1,3.59,0.11,0.0,0,3.59
355342,2020-04-11,"Americano, Small, Original",3.09,1,3.09,0.1,3.09,0,0.0
